date,off,course,horse,num,score_win,score_place,score_win_cal,score_place_cal,gate_proba,gate_pass,gate_top_horse
2026-06-05,1:30,Epsom,shes got a brother,5,0.030672402864127788,0.13058527128229902,0.03764087875260123,0.18159253260204986,0.3858486409032629,False,rosie frith
2026-06-05,1:30,Epsom,wedonttelllies,4,0.030026703481983354,0.1412220636162366,0.03682899048256673,0.19502173774193807,0.3858486409032629,False,rosie frith
2026-06-05,1:30,Epsom,temple of athena,3,0.02804952201496385,0.11021043471692825,0.03434479859340378,0.15543499913942752,0.3858486409032629,False,rosie frith
2026-06-05,1:30,Epsom,hanney girl,11,0.012086301497345967,0.06993257586183452,0.014454665164359733,0.10186157338429207,0.3858486409032629,False,rosie frith
2026-06-05,1:30,Epsom,one and gone,7,0.020202162288908376,0.10256477382586823,0.024520839524768752,0.14546442428603068,0.3858486409032629,False,rosie frith
2026-06-05,1:30,Epsom,proof,12,0.02844115293236287,0.09466370429305324,0.03483661993496214,0.1350670705909236,0.3858486409032629,False,rosie frith
2026-06-05,1:30,Epsom,artista,16,0.01747691048505604,0.0897570607451647,0.021127056598131057,0.12856063613277652,0.3858486409032629,False,rosie frith
2026-06-05,1:30,Epsom,chairmanfourtimes,2,0.022183510958520093,0.09626929133899041,0.026994832475686868,0.1371878163031079,0.3858486409032629,False,rosie frith
2026-06-05,1:30,Epsom,naanas shadow,6,0.03631529441669693,0.15960660521758213,0.04474676188201944,0.21788772731761116,0.3858486409032629,False,rosie frith
2026-06-05,1:30,Epsom,henrythenate,9,0.009584650890502425,0.05573730783743648,0.011383233135351509,0.0823032048107411,0.3858486409032629,False,rosie frith
2026-06-05,1:30,Epsom,rosie frith,1,0.05430208358941198,0.15075715137423132,0.06746913638700486,0.2069344230923153,0.3858486409032629,False,rosie frith
2026-06-05,1:30,Epsom,riley rocks,10,0.021050457983480993,0.10266157835008662,0.025579434367868064,0.14559121579306147,0.3858486409032629,False,rosie frith
2026-06-05,1:30,Epsom,coyy,15,0.01599307405902439,0.09581817321717338,0.019284388141754576,0.13659236611012948,0.3858486409032629,False,rosie frith
2026-06-05,1:30,Epsom,call margot,13,0.02020919550978597,0.11219099189044078,0.024529612322446995,0.15800365642584285,0.3858486409032629,False,rosie frith
2026-06-05,1:30,Epsom,alfa duplicate,14,0.030511835875488225,0.15301492019000004,0.03743895875759562,0.20973822958426203,0.3858486409032629,False,rosie frith
2026-06-05,1:30,Epsom,u s s charleston,8,0.02903429192834052,0.1231766787382631,0.03558172773430003,0.1721487650650711,0.3858486409032629,False,rosie frith
2026-06-05,1:40,Thirsk,revolutionelle,2,0.036356556122665404,0.12121426461511609,0.04479878173533076,0.16963453567107728,0.661824944477722,False,circle of trust
